	没想到2楼你们也很多人也要去。
	所以像小微那边有人微博留言，我看说挺好，说说自己这波比以前虽然亏钱了，但是比以前强的地方在于知道为什么是跌，为什么跌下来了，为什么后面会大跌一下。我说这就对了，你以前看不懂，你以前还会跟着骂，现在就知道，为什么你要黄线下走呢？第一个就走，你就知道不会做这个大的了。所以说我觉得很多古巴的那那那那一些评论，就是我觉得二楼会很少的。否则你就是侮辱自己的智商，这相当于姣1加1等于二的问题。明明知道做交易跌破黄线就要卖，对吧？不卖就要加速，然后就是不卖，然后加速下跌之后，不从自己的交易执行上面找原因，反而各种骂。
	我很理解这种行为，我真的很很理解，因为就是这样，外面散户就是这样，不学还固守自己的那些原本错误的认知，反正就是这些朋友，就是一楼的这些朋友扩圈出去的，不是指咱家的这些，绝大部分人家真朋友真的都特别好。那那零星的这些出去骂的，我觉得说如果能通过骂我来让自己赚到钱，我不反对，没问题。然后。
	然后第三个是有一些朋友一直后台给我发，说说这这个理解你，大大直播还是应该收费，不会。因为董路老师说过，一块钱可以过滤掉99% 9的人，那不还有0.01人过滤不掉吗？那就这0.01人不停的捣乱的，不也很让大家烦躁。所以没有必要为了这0.01的人，把我大直播的一个初心给毁掉，没有必要。
	所以咱们该怎么聊还是怎么聊，因为咱们家的老朋友或者基本盘都非常清楚，所以说特别是很多人因此掌握赚钱手艺，这帮人非常清楚的。这块我要特别我要说一下，你看咱们你们能明显感觉到咱们尤其一楼的时候，就是周日的时候，一楼的时候是不是弹幕现在越乱，上了2楼立马就安静了，对吧？所以这是一个数据量化。因为哥们儿做量化，我我我善于观察，总结经验，总结规律。2楼72块钱，88块钱直接就安静了，对吧？
	然后我要跟你们说的是什么？咱家998的大哥们，或者包括现在杨咩咩封一板，刚才这些咱家商务豪登都在，包括机械驴哥也在，对吧？封板的就这些朋友，他们很多是998的。再给我问问题的时候，你就真的知道为什么他们能挣到这个钱。真的是，我是站在我的角度，我这完全没有任何的分别心。我只是跟大家分享一个最真实就是说998大哥，比如昨天有一个2000万身家的，他就非常谦虚的问我说说说那个我就想稳定一年大概有个5%到10%，我应该怎么配比较好？然后说配的哪些票是看好中国的经济，哪些票是想做对冲，哪些实物。
	资产上怎么样。
	就是说确实不一样。
	而且他而且很多998人上来. 
	就说这个慢就是快，他们充分理解，包括咱家很多二楼的朋友给我发私信都是完全能理解的。所以我要说的什么？我要说的就是。你们放心，我不可能被外界的什么噪音所影响，没必要。我从第一天我就跟各位说了，最后就是6000人都经历过。所以说凡是你们上了二楼的朋友啊，你们花钱来了，我觉得让你们一分钱花出他妈100倍的感觉，知无不言，言无不尽。到最后这家军御林军6000人彻底学会。

（内容由AI生成）
