	在我正题开始前，你允许我吃一块巧克力。
	如果你这位置不是一直拿着荆轲什么下来的，你肯定是要换的，对不对？但是你说你已经早就去弱留强了，所以你要去弱留强，你一直拿着流动是都是这玩意，你肯定不换，但是毕竟完全学会的是少数。所以说你们只要在任何一个时间点换位思考一下，你就会明白说，现在市场到底整体是个什么处境。比如三种答案说换的你一定是手里拿着一堆破烂，都是黄线支架的，而且反弹也特别弱的。你想***到时候我肯定要还。我想这是市场绝大多数，因为这是结构性行情，绝大多数。但是你要一直拿的是这种区弱留强的强票，你肯定不换，对不对？你想我还没走完，我怎么可能换，我这明天还涨0，我不可能给你换，对不对？这就是心态。
	所以你就想如果你是空仓或者清仓在这个位置的，说实话你这两天很多人发我作业，你们他妈不还是该轮轮吗？根本不听话，对吧？但是话说为什么我觉得可以没什么大问题，因为你又没有吃下这一波跌幅，你恰恰你有子弹，而且你的仓位又不是特别大的话，或者你完全按照纪律，你这儿按纪律走的，那么你这儿在随时入场的时候，你就按照纪律走的快一点。你做做就做了，无无无所谓无所谓。
	但是你就从容。
	你想来就来，想走就走，是不是？但是咱们说你在这辈子八一把下来了，你在这辈子你敢想来就来，想走就走吗？是不是？不敢，所以就是策略就开始分化。那么分化的策略就是说你在活跃市值是分红的时候，你就小台费，你要非非非想玩，你你你自己控制风险，我不管。
	跟我没关系。
	但是比如你180下来之后，在这低位的筹码，你要做也是低位换低位。刚才那哥们儿说不理解什么叫低位换换低位。比如你看我我拿住不动。
	我拿住不动的策略。
	就是从这底下一直就从这个位置对吧？从这个位置8一直到这，我拿住不动，我就一种节奏。然后对于在这位置守了一波的人，那他的节奏就会变成比我少回撤了这么一大块。那么对他来讲，整个账户的容错率就会更高。然后后面只要按照纪律做，至少他在这个波段内他就会比我收益率要高。有可能。
	但是如果说在这个位置你不是像我一样拿了足够长，或者我是在这儿，你是这儿来的，或者这儿来这儿来的，你拿着不动攻击一把下来之后，你现在节奏是什么呢？就是一不要丢掉低位筹码，二就是在未来活跃市值继续分红，或者说转到多头的情况下去找强壮宝宝的鼻翼，明白这意思吧？而不是在活跃市值还是比如明天又跌下来了，然后又又一串绿的下来。结果你把这个位置割了以后，你再去找你说哟**磊哥再说这个玩意儿我追一把，这漂亮我追一把，对吧？或者比如说得找那种，比如说哟这漂亮，**下面给你挖一个路锥，这个别，那你这样就容易被杀两次，等于说你又把你低一倍的筹码。比如说你就你又把你这种低一倍的筹码换到了高位的筹码里边。
	你就。
	节奏就彻底乱了。
	所以你现在等于。
	说是在这个位置，在这个位置的筹码，相对低位的筹码，你要等着后面活跃市值翻红之后，你再去找那种好看的B1，就是你要去找那种要么好看的B一或者是黄金位置的第一。所以这就叫低位换低位，就是你千万别低位换高位。听坏了，听不懂了是吗？销销户我实话实说，这已经很简单了。简单的来讲就是说你现在这个位置，咱从上周日就说，就别再乱乱砍了，对吧？你一乱砍不就相当于低位筹码你交上去了，但是你留着筹码，你不这两天反弹你就能吃得上吗？
	你要说什么叫低位换低位，就是未来大盘多头区间之后，你换B1，换完美的B一能明白吗？对，破位换B一对对。对，你看这不就多离多简单。但是有些B2它也是低位，有些砖形图它也是低位。那么简单了解的就是理解为就换B1，换新的强壮宝宝的B一。
	就行了。
	所以低呗换低呗，你千万别反着换上去。因为很有可能什么？很有可能比如说拿这个来讲，很有可能说这儿为什么来到这儿？很有可能明天或者后天，只是有一种概率，我完全不是有任何引导，如果我是这票的主力，我我这为什么我在白线守？问问大家，你是这票的主力，你是这票的主力，大盘都崩了破位了，他为什么。
	能守在白线上？为什么？
	你们觉得为什么？还没出货或者没出完货。出不去，对，没人来玩。大盘熄火了之后，他妈外面没有增量资金过来接盘，因为还没出出去货，明白吧？所以当市场反弹走，他就马上他他得拉回来，就重新进入到它原本的。
	操盘的节奏里边。
	所以说未来有可能什么情况说如果之前没有S1，但是有一个小小的阶梯量，回来之后那有可能作为双头。什么意思？什么。
	不是说去弱留强吗？
	什么意思？咱干什么呢？哥们儿，就这块有什么可干？咱们现在什么时候聊要聊去弱留强的事儿了？
	别理了是吧？就别闹了行吗？咱们在讲什么？在讲的是比如说目前在高位筹码在高位的这些票，筹码在高位的，他随时可能完成了一个他之前没有完成的交易的节奏跟动作之后来一个补跌。只说有这种可能，所以如果你换不好，你就容易说，**磊哥说了，去弱留强我明儿就把这砍了，然后我就换到这里边来。你这个就是我刚才说的，你就相当于第一位筹码换到了高位筹码，说就算是他明天涨停，你这换法也是错的。因为你完全不知道。
	它背后的原理是什么。
	所以比如说如果是我我感觉比如这个来讲，我感觉说挑个双头没准来个长长影，然后再一一一放量波段结束，这是一种可能。还有一种可能就是接着拉，接着拉在前方这边给你墨迹下，弄一下起来。但是我说了不要去猜啊不要去猜。因为你你这只要你放飞过白线，牵住哪天破白线卖是可以。但是你短线你数砖1234，明天再来一根，第四块砖开始放飞也可以，或明天直接就翻绿了，红砖转绿专卖掉也可以。随便怎么玩，因为方法都教过了，你你你适合哪个，你喜欢哪个，你就按哪个怎么玩。只是说你千万不要从第一位的筹码，你光机换到了高位筹码里边。
	然后有些人。
	比如说没有人明白说去弱留强，不是再说这个票，是说大盘在下杀的时候，大盘在空头区间下杀的时候，趋弱留强。去弱的你的仓位变变变到只卖不买，只卖不买的时候。
	你是自然的去而留强。
	而不是现在反弹的这个时候。所以真的有些人听不懂的话，我觉得真的是有点难受，有点难受。
	比如说你看比如说这个票在当时的时点算抢票，对不对？但是说在当时十点，你拿了一个底下的东西，你把搁到这儿以后放到这儿来了。
	你说曹操。
	哥说了举弱留强，你他妈这叫换仓，换仓要第一位筹码，换第一位筹码。说了无数遍，怎么就听不明白？你调仓换股端，你一定要第一位换第一位，就是你要把你江瞳换到这种低位，你他妈这叫高位了，你高位换不好，咣咣咣下来了，这个**对吧？能不能听懂？
	但是比如说这轮在夏天，你一直拿着这个票，拿着，突然间你的一个收藏票里边只卖不买就出现这个了，你就要走。
	明白吧？
	只卖不买，去弱留强，这个是在你满仓大盘往下走的大盘空头区间你要做的事情。而我刚才讲这个是讲你要调仓，你要只是个调仓换股了，你别从这个位置第一位你换到这个位置来，因为很可能你跌两遍，听着都费劲了是吧？别重复了，是不是？

（内容由AI生成）
