	我这儿的网线有点问题，现在恢复了吗？我我刚才应该是现在恢复。
	对，开胃菜，就咱随便扒留这玩意儿，你觉得这玩意就算了，那这就算了，乱太乱。这玩意儿可以对吧？就是你扒拉你一看就知道谁在干活，有人干活，这也是短桩。你看从这是无序的，就是有序的空投，然后转成白线，有序的多头一波流没了。像比如这玩意儿，就是也乱，也不看，基本不爱看这种东西，就是这下来这么起来的就不爱看，这种就不好不好看。比如这就是这个你要接下来这就做完了，这块就做完了。那为什么这做完了，你看这儿不放量了，你明显他妈就在这个位置给你，他反复的跟这儿收割，这叫收割，这就是收割线。
	你看这也是什么叫游资游，游某资分好几种，一种是椎板的，一种是做单根儿的。比如你看这个保龄宝，这就属于单根儿，你看是不是好，完全无序对吧？你白线没有意义，你看不懂，登机又来一根，莫名其妙，对吧？来完以后，黄线这儿看见能能守住，攻击又下来了。
	攻击又上去了。
	又这样了，这他妈就乱来，你跟这儿买完饼，你到这儿很难赚钱的，乱来，这就很难做，这就一波流。不，一日游，一日游。这是很明显的，这个有序，这很有序，你对吧？你这一打眼就很有序。黄金有没有价值？黄线有没有价值？
	白线有没有价值？
	跌破一天马上就回来了，看到没有？跌破两天马上回来，又下来回到这儿，黄线这散了点儿，这散了点。但是这马上黄线是不是又有价值了？还有价值，有这时候红线。
	还有价值。
	所以这一看就是有有序，无非是你认为它高不高，无非是高不高的问题。就目前来讲，反正是还是控盘，股主力高控。但是这个位置横多久呢？你至少你得等它占到55以上，它打到55才有戏。我觉得得得横一横，打到55。
	对，你看这散了这块这块散了又整，说明可能是新人来就就来波新的，来波新的钱，可能不是之前的那那波那波资金了，你看筹码也是之前那波资金的筹码在哪儿？在这儿，在对吧在成本在这儿成本在29。然后起来之后，在这位置一横盘，**全都倒给46了，到给46。有新来的人在46抽取筹码之后崩一把拉到61，对吧？然后又这么回到这儿，在这位置也完成了一波出货。就是小小这上面你就看这个位置翠绿菜鸟是吧？我家里有一只菜鸟，就叫菜菜鸟，翠绿。绿岛风没问题，有什么问题吗？
	咱们刚才讲完有序无序之后，在这个区间之内是不是有序上压下下撑，上压下撑有序。你慌什么？这小姐你慌什么？你这历史上**，*看哟这票你看？在这白线一直拖着，然后下来之后黄线拖，白线走你然后又黄线拖，你发现这个主力其实是单根线的，这根主力的，这根主力的它的控盘线是黄线，看到了吗？跟白线没关系，所以就一个票有一票的这个性格，这个票的性格就是黄线。你看黄线每一个黄线都有作用，它这个白白线是没有价值的。你目前来看。
	你看白白线没有价值，黄线你这么看是不是就清清楚楚了。这是4月7，从这完了以后，是不是都都都是都是基本上都是模糊的，正确都是在黄黄线，无非就是这位置高不高，从上面也一把把把这个20厘米给焉下来了，是吧？
	别酸我霉酸。这不那哥们儿问，一直一直刷屏打半天问问，对吧？这个东西他之前也是在这儿，你看它的特点就是这样，起来一段之后，**就开始收回收成本回收成本，回收成本，收钱录一录，再他妈起一下，再收一下，再再收。这票要是后面八黄金破了，破了以后扒起来再上去，不行，熄火就走。
	这票比较麻烦的是，他在这位置有可能强转弱。我跟你讲，因为太高了一个，太高了一个是有可能强转弱，就看他能不能快速的把69给打上去，能不能站上70。如果他不能快速的站上白线之上，就重新回到升值，看就这样重回升势。看到吧？他必须得从黄线重回升势，重回升势才能给他确认一下。我现在但是现在这位置没什么可怕的，就是这个有序，怕毛呢，对不对？留这个票，我问你们有序还是无序，这个票是有序还是无序，当前有据无据。
	对吧？无序，所以这种玩意儿你就知道它短期够呛，但是你看它周线有序无序。周县有据无据。这属于又往上进了一层，周线有序对吧？那你看周线有序在哪？黄线是485，不是，我这一直没有全不全，黄线是124点，周县有序回到黄线的位置。
	我问你，你从这儿拿来的，你这辈子割不割，对吧？你比如你这儿拿的或者你哪儿拿的这位置搁不搁？在这位置高高不高？你说走是吗？我说过了一碗白浆。
	你肯定把止损设在。
	你周线无序的这个有序的这个黄线的这个124.61块，你肯定设一个123.9块，那你回到日线，日123，因为你在日线级别，你要把在这位置一路屁股尿流下来，你要割掉的话，你有可能就割在***最低点。
	你就搁在最低点上。
	你到时候你一割完以后，八马上来一根，这玩意儿你很难受。所以说后面会讲。
	长短期的结合。
	但是我咱们现在这样还是之前的原则，就是说我就不再等了，因为人越来越多，而且来的都是4000点以上的新人。你他要不好好耐心的去看看课程的话，已经很难解释了。所以咱们就是就往下开了，咱就往下开。比如说今天咱们就节前把聊天轻松一点，后来但是聊性了，咱就给大家加一个，加一个有序跟无序。
	然后你说你任何打开一个，比如说你看打开这个玩意儿，打开一个这个玩意，跟你讲这就不碰无序，不碰你这什么破玩意儿，你的依据就是没有依据。就这种票人家问你乱来，你看这咱这有没有操有有依据，可以有点意思，对不对？就是你就知道有序，有序就有底，就是有人玩这个玩意儿，就是有有大哥精心呵护，明白吗？就打开这个什么玩意儿，**完全无序，对吧？你就别跟这儿，别跟这较较劲了，你说这也是。有序空投对吧，就不理了，还是从这儿开始的。但这根放量有可能走了，往下。
	操这对吧，你这**，*说你在这位置，你看这不就有序吗？从底下的白线一直就从白线上面就有序。你看然后白线黄线有有序，白线有有序，然后黄线有序对吧？这儿有点乱，这儿乱，因为这儿筹码松散了，筹码松散之后就有点乱，但在这位置，黄线有序多头支撑，然后又是B1，3.9，对，B18来1根是9.65。
	像这种钱跟你讲，你们以后在赚这种钱的时候，就是这种玩意儿。这就是短线快钱重仓一轮，然后就走到这块儿，就走转一重仓轮他就走，就是做一个有序的有序像就是做一个有序支撑，这叫反弹，记住这叫反弹，就这种玩意儿叫反弹。台子无序，白酒应该都无序。你看这是台子，台子无序，明显无序，台子无序，台子的逻辑，所有的白酒的逻辑就是估值最低，他不是做。

（内容由AI生成）
